"minimum","maximum","year"
0.0,23.5294117647059,1979
0.0,25.0,1980
0.0,20.4081632653061,1981
0.0,21.0526315789474,1982
0.0,24.0,1983
0.0,23.6842105263158,1984
0.0,33.3333333333333,1985
0.0,29.1479820627803,1986
0.0,28.2608695652174,1987
0.0,24.0,1988
0.0,28.5714285714286,1989
0.0,25.0,1990
0.0,28.5714285714286,1991
0.0,24.3243243243243,1992
0.0,28.5714285714286,1993
0.0,30.0,1994
0.0,25.0,1995
0.0,25.7142857142857,1996
0.0,24.2102428538502,1997
0.0,28.5714285714286,1998
0.0,23.0769230769231,1999
0.0,25.3521126760563,2000
0.0,25.0,2001
0.0,25.7142857142857,2002
0.0,24.0506329113924,2003
0.0,26.0,2004
-16.8421052631579,25.974025974026,2005
-13.0315500685872,27.0,2006
-24.2857142857143,26.0,2007
-13.3561643835617,26.25,2008
-13.3421400264201,27.1428571428571,2009
-11.6129032258064,34.5703125,2010
-15.8227848101265,30.188679245283,2011
-19.5652173913043,41.6666666666667,2012
0.0,80.2215189873418,2013
-22.1238938053097,23.5294117647059,2014
-34.2857142857143,24.8720573183214,2015
-77.8780342333559,29.8811544991511,2016
-29.8850574712644,24.3589743589744,2017
-40.3908794788274,28.75,2018
-51.4459665144596,33.3333333333333,2019
-37.9310344827586,27.9411764705882,2020
-40.7407407407407,34.375,2021
-37.9310344827586,24.1379310344828,2022
